identifier	slt	ink	demoted
0902.0431_EQ0267	0	7	no
0902.0431_EQ0270	0	3	no
0902.0431_EQ0286	0	0	no
0902.0431_EQ0288	0	2	no
0902.0431_EQ0292	0	14	no
0902.0431_EQ0306	0	2	no
0902.0431_EQ0309	0	2	no
0902.0431_EQ0310	0	0	no
0902.0431_EQ0311	0	0	no
0902.0431_EQ0312	0	2	no
0902.0431_EQ0313	0	2	no
0902.0431_EQ0316	0	0	no
0902.0431_EQ0321	0	22	no
0902.0431_EQ0329	0	18	no
0902.0431_EQ0335	0	7	no
0902.0431_EQ0338	0	0	no
0902.0431_EQ0339	0	0	no
0902.0431_EQ0340	0	14	no
0902.0431_EQ0346	0	18	no
0902.0431_EQ0347	0	0	no
0902.0431_EQ0358	0	1	no
0902.0431_EQ0359	0	0	no
0902.0431_EQ0360	0	22	no
0902.0431_EQ0361	0	6	no
0902.0431_EQ0362	0	10	no
0902.0431_EQ0366	0	1	no
0902.0431_EQ0372	0	39	no
0902.0431_EQ0381	0	12	no
0902.0431_EQ0382	0	4	no
0902.0431_EQ0384	0	16	no
0902.0431_EQ0385	0	0	no
0902.0431_EQ0386	0	0	no
0902.0431_EQ0391	0	3	no
0902.0431_EQ0393	0	6	no
0902.0431_EQ0395	0	0	no
0902.0431_EQ0396	0	1	no
0902.0431_EQ0402	0	1	no
0902.0431_EQ0404	0	2	no
0902.0431_EQ0417	0	14	no
0902.0431_EQ0419	0	4	no
0902.0431_EQ0426	0	2	no
0902.0431_EQ0429	0	1	no
0902.0431_EQ0432	0	0	no
0902.0431_EQ0436	0	11	no
0902.0431_EQ0437	0	1	no
0902.0431_EQ0439	0	25	no
0902.0431_EQ0441	0	11	no
0902.0431_EQ0442	0	0	no
0902.0431_EQ0443	0	15	no
0902.0431_EQ0451	0	2	no
0902.0431_EQ0452	0	6	no
0902.0431_EQ0473	0	0	no
0902.0431_EQ0478	0	10	no
0902.0431_EQ0480	0	7	no
0902.0431_EQ0482	0	0	no
0902.0431_EQ0486	0	63	no
0902.0431_EQ0491	0	1	no
0902.0431_EQ0497	0	3	no
0902.0431_EQ0500	0	0	no
0902.0431_EQ0508	0	26	no
0902.0431_EQ0509	0	3	no
0902.0431_EQ0512	0	10	no
0902.0431_EQ0514	0	1	no
0902.0431_EQ0521	0	4	no
0902.0431_EQ0523	0	3	no
0902.0431_EQ0525	0	6	no
0902.0431_EQ0526	0	5	no
0902.0431_EQ0527	0	10	no
0902.0431_EQ0536	0	1	no
0902.0431_EQ0537	0	2	no
0902.0431_EQ0539	0	0	no
0902.0431_EQ0542	0	6	no
0902.0431_EQ0544	0	6	no
0902.0431_EQ0547	0	8	no
0902.0431_EQ0548	0	39	no
0902.0431_EQ0549	0	4	no
0902.0431_EQ0550	0	12	no
0902.0431_EQ0555	0	1	no
0902.0431_EQ0556	0	2	no
0902.0431_EQ0559	0	0	no
0902.0431_EQ0561	0	4	no
0902.0431_EQ0564	0	2	no
0902.0431_EQ0565	0	0	no
0902.0431_EQ0572	0	7	no
0902.0431_EQ0574	0	1	no
0902.0431_EQ0575	0	43	no
0902.0431_EQ0580	0	0	no
0902.0431_EQ0587	0	27	no
0902.0431_EQ0601	0	5	no
0902.0431_EQ0608	0	13	no
0902.0431_EQ0628	0	6	no
0902.0431_EQ0637	0	27	no
0902.0431_EQ0652	0	16	no
0902.0431_EQ0653	0	4	no
0902.0431_EQ0664	0	21	no
0902.0431_EQ0666	0	19	no
0902.0431_EQ0669	0	23	no
0902.0431_EQ0677	0	21	no
0902.0431_EQ0679	0	5	no
0902.0431_EQ0733	0	1	no
0902.0431_EQ0739	0	9	no
0902.0431_EQ0741	0	0	no
0902.0431_EQ0750	0	23	no
0902.0431_EQ0755	0	0	no
0902.0431_EQ0764	0	7	no
0902.0431_EQ0766	0	0	no
0902.0431_EQ0769	0	0	no
0902.0431_EQ0780	0	4	no
0902.0431_EQ0782	0	4	no
0902.0431_EQ0787	0	6	no
0902.0431_EQ0788	0	8	no
0902.0431_EQ0791	0	12	no
0902.0431_EQ0796	0	6	no
0902.0431_EQ0798	0	2	no
0902.0431_EQ0799	0	2	no
0902.0431_EQ0800	0	5	no
0902.0431_EQ0801	0	7	no
0902.0431_EQ0803	0	0	no
0902.0431_EQ0804	0	0	no
0902.0431_EQ0805	0	2	no
0902.0431_EQ0806	0	2	no
0902.0431_EQ0808	0	4	no
0902.0431_EQ0812	0	4	no
0902.0431_EQ0813	0	0	no
0902.0431_EQ0814	0	4	no
0902.0431_EQ0817	0	0	no
0902.0431_EQ0824	0	0	no
0902.0431_EQ0825	0	2	no
0902.0431_EQ0826	0	4	no
0902.0431_EQ0828	0	0	no
0902.0431_EQ0831	0	11	no
0902.0431_EQ0838	0	0	no
0902.0431_EQ0839	0	0	no
0902.0431_EQ0846	0	1	no
0902.0431_EQ0848	0	3	no
0902.0431_EQ0850	0	4	no
0902.0431_EQ0855	0	4	no
0902.0431_EQ0857	0	0	no
0902.0431_EQ0858	0	1	no
0902.0431_EQ0859	0	1	no
0902.0431_EQ0861	0	1	no
0902.0431_EQ0863	0	12	no
0902.0431_EQ0866	0	1	no
0902.0431_EQ0867	0	1	no
0902.0431_EQ0868	0	1	no
0902.0431_EQ0871	0	1	no
0902.0431_EQ0884	0	6	no
0902.0431_EQ0970	0	7	no
0902.0431_EQ1008	0	0	no
0902.0431_EQ1021	0	35	no
0902.0431_EQ1022	0	1	no
0902.0431_EQ1025	0	2	no
0902.0431_EQ1027	0	35	no
0902.0431_EQ1037	0	7	no
0902.0431_EQ1040	0	4	no
0902.0431_EQ1046	0	1	no
0902.0431_EQ1065	0	13	no
0902.0431_EQ1079	0	22	no
0902.0431_EQ1089	0	10	no
0902.0431_EQ1135	0	4	no
0902.0431_EQ1216	0	15	no
0902.0431_EQ1218	0	4	no
0903.2087_EQ0019	0	6	no
0903.2087_EQ0020	0	3	no
0903.2087_EQ0032	0	0	no
0903.2087_EQ0081	0	0	no
0903.2087_EQ0085	0	2	no
0905.0767_EQ0001	0	0	no
0905.0767_EQ0002	0	0	no
0905.0767_EQ0003	0	3	no
0905.0767_EQ0004	0	1	no
0905.0767_EQ0005	0	0	no
0905.2720_EQ0001	0	1	no
0905.2720_EQ0002	0	0	no
0905.2720_EQ0005	0	1	no
0905.2720_EQ0009	0	3	no
0905.2720_EQ0010	0	1	no
0905.2720_EQ0022	0	1	no
0905.2720_EQ0027	0	2	no
0905.2720_EQ0030	0	2	no
0905.2720_EQ0031	0	1	no
0905.2720_EQ0032	0	2	no
0905.2720_EQ0036	0	2	no
0911.3722_EQ0006	0	0	no
0911.3722_EQ0010	0	8	no
0911.3722_EQ0012	0	0	no
0911.3722_EQ0018	0	1	no
0911.3722_EQ0022	0	1	no
0911.3722_EQ0023	0	1	no
0911.5175_EQ0001	0	46	no
0911.5175_EQ0005	0	31	no
0911.5175_EQ0006	0	1	no
0911.5175_EQ0007	0	2	no
0911.5175_EQ0008	0	2	no
0911.5175_EQ0009	0	0	no
0911.5175_EQ0010	0	2	no
